sep=,
Group,BinaryPath,GitPath,URL,Name,Description,Language,Stars,Size,PushDate,hasIssues,Forks
rest-assured,C:\Users\royw\Workspace\top1000\rest-assured-rest-assured,C:\Users\royw\Workspace\top1000\rest-assured-rest-assured,https://github.com/rest-assured/rest-assured,rest-assured,Java DSL for easy testing of REST services,Java,1154,9053,Thu Jun 02 10:08:51 CEST 2016,true,312
android,C:\Users\royw\Workspace\top1000\android-platform_frameworks_support,C:\Users\royw\Workspace\top1000\android-platform_frameworks_support,https://github.com/android/platform_frameworks_support,platform_frameworks_support,,Java,832,39902,Tue May 31 20:57:14 CEST 2016,false,467
nathanmarz,C:\Users\royw\Workspace\top1000\nathanmarz-storm,C:\Users\royw\Workspace\top1000\nathanmarz-storm,https://github.com/nathanmarz/storm,storm,Distributed and fault-tolerant realtime computation: stream processing continuous computation distributed RPC and more,Java,8798,27015,Wed May 04 18:02:55 CEST 2016,false,1762
wrapp,C:\Users\royw\Workspace\top1000\wrapp-floatlabelededittext,C:\Users\royw\Workspace\top1000\wrapp-floatlabelededittext,https://github.com/wrapp/floatlabelededittext,floatlabelededittext,Floating hint from edit text - inspired by Matt D. Smith's design: http://dribbble.com/shots/1254439--GIF-Mobile-Form-Interaction?list=users,Java,961,716,Wed Sep 09 13:51:52 CEST 2015,true,204
igniterealtime,C:\Users\royw\Workspace\top1000\igniterealtime-Openfire,C:\Users\royw\Workspace\top1000\igniterealtime-Openfire,https://github.com/igniterealtime/Openfire,Openfire,A XMPP server licensed under the Open Source Apache License.,Java,804,846683,Wed Jun 01 18:02:54 CEST 2016,false,601
facebook,C:\Users\royw\Workspace\top1000\facebook-fresco,C:\Users\royw\Workspace\top1000\facebook-fresco,https://github.com/facebook/fresco,fresco,An Android library for managing images and the memory they use.,Java,9354,16209,Wed Jun 01 16:38:54 CEST 2016,true,2712
k9mail,C:\Users\royw\Workspace\top1000\k9mail-k-9,C:\Users\royw\Workspace\top1000\k9mail-k-9,https://github.com/k9mail/k-9,k-9,K-9 Mail – Advanced Email for Android,Java,2549,65310,Wed Jun 01 12:54:37 CEST 2016,true,1412
trello,C:\Users\royw\Workspace\top1000\trello-victor,C:\Users\royw\Workspace\top1000\trello-victor,https://github.com/trello/victor,victor,Use SVGs as resources in Android,Java,809,501,Tue May 03 19:54:34 CEST 2016,true,37
mikepenz,C:\Users\royw\Workspace\top1000\mikepenz-LollipopShowcase,C:\Users\royw\Workspace\top1000\mikepenz-LollipopShowcase,https://github.com/mikepenz/LollipopShowcase,LollipopShowcase,A simple app to showcase Androids Material Design and some of the cool new cool stuff in Android Lollipop. RecyclerView CardView ActionBarDrawerToggle DrawerLayout Animations Android Compat Design Toolbar,Java,1573,9176,Sat Jan 02 18:14:06 CET 2016,true,504
google,C:\Users\royw\Workspace\top1000\google-physical-web,C:\Users\royw\Workspace\top1000\google-physical-web,https://github.com/google/physical-web,physical-web,The Physical Web: walk up and use anything,Java,5389,12957,Wed Jun 01 23:38:51 CEST 2016,true,651
Manabu-GT,C:\Users\royw\Workspace\top1000\Manabu-GT-ExpandableTextView,C:\Users\royw\Workspace\top1000\Manabu-GT-ExpandableTextView,https://github.com/Manabu-GT/ExpandableTextView,ExpandableTextView,Android's TextView that can expand/collapse like the Google Play's app description,Java,1331,8038,Tue Feb 09 15:00:59 CET 2016,true,394
robovm,C:\Users\royw\Workspace\top1000\robovm-robovm,C:\Users\royw\Workspace\top1000\robovm-robovm,https://github.com/robovm/robovm,robovm,For more info see,Java,1608,377573,Wed Mar 23 03:37:55 CET 2016,true,401
mikepenz,C:\Users\royw\Workspace\top1000\mikepenz-FastAdapter,C:\Users\royw\Workspace\top1000\mikepenz-FastAdapter,https://github.com/mikepenz/FastAdapter,FastAdapter,The bullet proof fast and easy to use adapter library which minimizes developing time to a fraction...,Java,802,17003,Tue May 31 22:58:09 CEST 2016,true,85
tyrantgit,C:\Users\royw\Workspace\top1000\tyrantgit-ExplosionField,C:\Users\royw\Workspace\top1000\tyrantgit-ExplosionField,https://github.com/tyrantgit/ExplosionField,ExplosionField,explosive dust effect for views,Java,2257,1570,Fri Mar 25 23:26:00 CET 2016,true,443
chrisbanes,C:\Users\royw\Workspace\top1000\chrisbanes-photup,C:\Users\royw\Workspace\top1000\chrisbanes-photup,https://github.com/chrisbanes/photup,photup,photup,Java,855,37229,Fri Jul 12 13:56:14 CEST 2013,false,310
watabou,C:\Users\royw\Workspace\top1000\watabou-pixel-dungeon,C:\Users\royw\Workspace\top1000\watabou-pixel-dungeon,https://github.com/watabou/pixel-dungeon,pixel-dungeon,Traditional roguelike game with pixel-art graphics and simple interface,Java,1287,8161,Fri Mar 25 01:29:57 CET 2016,true,510
dropbox,C:\Users\royw\Workspace\top1000\dropbox-hackpad,C:\Users\royw\Workspace\top1000\dropbox-hackpad,https://github.com/dropbox/hackpad,hackpad,Hackpad is a web-based realtime wiki.,Java,2700,111242,Tue Jan 12 08:18:06 CET 2016,true,353
motianhuo,C:\Users\royw\Workspace\top1000\motianhuo-wechat,C:\Users\royw\Workspace\top1000\motianhuo-wechat,https://github.com/motianhuo/wechat,wechat,A High Copy WeChat SNS APP (高仿微信),Java,2140,49225,Sat Apr 23 16:13:16 CEST 2016,true,1035
tuesda,C:\Users\royw\Workspace\top1000\tuesda-CircleRefreshLayout,C:\Users\royw\Workspace\top1000\tuesda-CircleRefreshLayout,https://github.com/tuesda/CircleRefreshLayout,CircleRefreshLayout,a custom pull-to-refresh layout which contains a interesting animation,Java,1148,4357,Sun Apr 24 20:04:21 CEST 2016,true,275
alibaba,C:\Users\royw\Workspace\top1000\alibaba-LuaViewSDK,C:\Users\royw\Workspace\top1000\alibaba-LuaViewSDK,https://github.com/alibaba/LuaViewSDK,LuaViewSDK,,Java,1004,32736,Mon May 30 05:15:57 CEST 2016,true,244
ChrisRM,C:\Users\royw\Workspace\top1000\ChrisRM-material-theme-jetbrains,C:\Users\royw\Workspace\top1000\ChrisRM-material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,material-theme-jetbrains,JetBrains theme of Material Theme,Java,2523,54981,Wed May 11 15:57:28 CEST 2016,true,124
grpc,C:\Users\royw\Workspace\top1000\grpc-grpc-java,C:\Users\royw\Workspace\top1000\grpc-grpc-java,https://github.com/grpc/grpc-java,grpc-java,The Java gRPC implementation. HTTP/2 based RPC,Java,1392,23218,Thu Jun 02 03:24:08 CEST 2016,true,368
Pkmmte,C:\Users\royw\Workspace\top1000\Pkmmte-CircularImageView,C:\Users\royw\Workspace\top1000\Pkmmte-CircularImageView,https://github.com/Pkmmte/CircularImageView,CircularImageView,Custom view for circular images in Android while maintaining the best draw performance,Java,1020,1931,Sat Mar 26 03:01:57 CET 2016,true,219
flschweiger,C:\Users\royw\Workspace\top1000\flschweiger-SwipeStack,C:\Users\royw\Workspace\top1000\flschweiger-SwipeStack,https://github.com/flschweiger/SwipeStack,SwipeStack,A simple customizable and easy to use swipeable view stack for Android.,Java,914,19483,Tue May 31 20:14:12 CEST 2016,true,121
RomainPiel,C:\Users\royw\Workspace\top1000\RomainPiel-Shimmer-android,C:\Users\royw\Workspace\top1000\RomainPiel-Shimmer-android,https://github.com/RomainPiel/Shimmer-android,Shimmer-android,An Android TextView with a shimmering effect,Java,1383,619,Tue Sep 01 14:39:28 CEST 2015,true,358
spullara,C:\Users\royw\Workspace\top1000\spullara-mustache.java,C:\Users\royw\Workspace\top1000\spullara-mustache.java,https://github.com/spullara/mustache.java,mustache.java,Implementation of mustache.js for Java,Java,916,2899,Sat May 28 00:56:41 CEST 2016,true,161
traex,C:\Users\royw\Workspace\top1000\traex-RippleEffect,C:\Users\royw\Workspace\top1000\traex-RippleEffect,https://github.com/traex/RippleEffect,RippleEffect,Implementation of Ripple effect from Material Design for Android API 9+,Java,3292,833,Thu Mar 31 11:16:51 CEST 2016,true,823
androidquery,C:\Users\royw\Workspace\top1000\androidquery-androidquery,C:\Users\royw\Workspace\top1000\androidquery-androidquery,https://github.com/androidquery/androidquery,androidquery,AndroidQuery,Java,1889,17080,Tue Sep 23 12:00:32 CEST 2014,true,607
medyo,C:\Users\royw\Workspace\top1000\medyo-android-about-page,C:\Users\royw\Workspace\top1000\medyo-android-about-page,https://github.com/medyo/android-about-page,android-about-page,Create an awesome About Page for your Android App in 2 minutes,Java,960,842,Tue May 24 18:13:01 CEST 2016,true,80
nhaarman,C:\Users\royw\Workspace\top1000\nhaarman-ListViewAnimations,C:\Users\royw\Workspace\top1000\nhaarman-ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,ListViewAnimations,An Android library which allows developers to easily add animations to ListView items,Java,5024,23973,Thu Jan 14 17:33:42 CET 2016,true,1748
Alluxio,C:\Users\royw\Workspace\top1000\Alluxio-alluxio,C:\Users\royw\Workspace\top1000\Alluxio-alluxio,https://github.com/Alluxio/alluxio,alluxio,Alluxio formerly Tachyon Memory Speed Virtual Distributed Storage System,Java,2383,85591,Thu Jun 02 09:55:41 CEST 2016,true,944
JorgeCastilloPrz,C:\Users\royw\Workspace\top1000\JorgeCastilloPrz-AndroidFillableLoaders,C:\Users\royw\Workspace\top1000\JorgeCastilloPrz-AndroidFillableLoaders,https://github.com/JorgeCastilloPrz/AndroidFillableLoaders,AndroidFillableLoaders,Android fillable progress view working with SVG paths. This is a nice option too if you want to create an interesting branding logo for your app. Based on the iOS project: https://github.com/poolqf/FillableLoaders,Java,1285,1527,Fri May 13 16:24:20 CEST 2016,true,171
Mashape,C:\Users\royw\Workspace\top1000\Mashape-unirest-java,C:\Users\royw\Workspace\top1000\Mashape-unirest-java,https://github.com/Mashape/unirest-java,unirest-java,Unirest in Java: Simplified lightweight HTTP client library.,Java,819,673,Thu May 12 10:41:21 CEST 2016,true,252
izzyleung,C:\Users\royw\Workspace\top1000\izzyleung-ZhihuDailyPurify,C:\Users\royw\Workspace\top1000\izzyleung-ZhihuDailyPurify,https://github.com/izzyleung/ZhihuDailyPurify,ZhihuDailyPurify,Purified version of Zhihu Daily - 更纯净的知乎日报,Java,2139,31348,Mon May 16 22:50:24 CEST 2016,true,571
google,C:\Users\royw\Workspace\top1000\google-jimfs,C:\Users\royw\Workspace\top1000\google-jimfs,https://github.com/google/jimfs,jimfs,An in-memory file system for Java 7+,Java,988,2969,Sun May 29 23:10:09 CEST 2016,true,129
nutzam,C:\Users\royw\Workspace\top1000\nutzam-nutz,C:\Users\royw\Workspace\top1000\nutzam-nutz,https://github.com/nutzam/nutz,nutz,Nutz核心代码,Java,967,54816,Thu Jun 02 05:13:32 CEST 2016,true,667
twitter,C:\Users\royw\Workspace\top1000\twitter-elephant-bird,C:\Users\royw\Workspace\top1000\twitter-elephant-bird,https://github.com/twitter/elephant-bird,elephant-bird,Twitter's collection of LZO and Protocol Buffer-related Hadoop Pig Hive and HBase code.,Java,973,64956,Tue Apr 05 01:07:59 CEST 2016,true,354
jeeeyul,C:\Users\royw\Workspace\top1000\jeeeyul-eclipse-themes,C:\Users\royw\Workspace\top1000\jeeeyul-eclipse-themes,https://github.com/jeeeyul/eclipse-themes,eclipse-themes,Full Featured Eclipse Theme Customizer!,Java,734,147101,Thu Apr 21 07:58:40 CEST 2016,true,119
l123456789jy,C:\Users\royw\Workspace\top1000\l123456789jy-Lazy,C:\Users\royw\Workspace\top1000\l123456789jy-Lazy,https://github.com/l123456789jy/Lazy,Lazy,The android tools           自己整理的常用的工具类   ,Java,749,299,Thu May 26 04:37:19 CEST 2016,true,283
NanoHttpd,C:\Users\royw\Workspace\top1000\NanoHttpd-nanohttpd,C:\Users\royw\Workspace\top1000\NanoHttpd-nanohttpd,https://github.com/NanoHttpd/nanohttpd,nanohttpd,Tiny easily embeddable HTTP server in Java.,Java,1914,1856,Wed Jun 01 02:28:26 CEST 2016,true,813
requery,C:\Users\royw\Workspace\top1000\requery-requery,C:\Users\royw\Workspace\top1000\requery-requery,https://github.com/requery/requery,requery,requery - compile time object mapping and SQL query library for Java & Android,Java,1048,1473,Thu Jun 02 08:45:43 CEST 2016,true,69
MrEngineer13,C:\Users\royw\Workspace\top1000\MrEngineer13-SnackBar,C:\Users\royw\Workspace\top1000\MrEngineer13-SnackBar,https://github.com/MrEngineer13/SnackBar,SnackBar,toast-like alert pattern for Android inspired by the Google Material Design Spec,Java,1120,976,Mon Aug 03 22:06:59 CEST 2015,true,184
JakeWharton,C:\Users\royw\Workspace\top1000\JakeWharton-ThreeTenABP,C:\Users\royw\Workspace\top1000\JakeWharton-ThreeTenABP,https://github.com/JakeWharton/ThreeTenABP,ThreeTenABP,An adaptation of the JSR-310 backport for Android.,Java,1051,122,Wed May 18 14:14:33 CEST 2016,true,27
ToxicBakery,C:\Users\royw\Workspace\top1000\ToxicBakery-ViewPagerTransforms,C:\Users\royw\Workspace\top1000\ToxicBakery-ViewPagerTransforms,https://github.com/ToxicBakery/ViewPagerTransforms,ViewPagerTransforms,Library containing common animations needed for transforming ViewPager scrolling for Android v13+.,Java,1086,1303,Fri Mar 04 15:32:04 CET 2016,true,293
glyptodon,C:\Users\royw\Workspace\top1000\glyptodon-guacamole-client,C:\Users\royw\Workspace\top1000\glyptodon-guacamole-client,https://github.com/glyptodon/guacamole-client,guacamole-client,The HTML5/JavaScript Guacamole client its containing web application and related components.,Java,810,12426,Sun May 15 21:46:07 CEST 2016,false,210
osmandapp,C:\Users\royw\Workspace\top1000\osmandapp-Osmand,C:\Users\royw\Workspace\top1000\osmandapp-Osmand,https://github.com/osmandapp/Osmand,Osmand,osmand,Java,787,357619,Thu Jun 02 10:05:45 CEST 2016,true,468
Netflix,C:\Users\royw\Workspace\top1000\Netflix-exhibitor,C:\Users\royw\Workspace\top1000\Netflix-exhibitor,https://github.com/Netflix/exhibitor,exhibitor,ZooKeeper co-process for instance monitoring backup/recovery cleanup and visualization.,Java,960,3035,Mon May 09 08:33:45 CEST 2016,true,273
gzu-liyujiang,C:\Users\royw\Workspace\top1000\gzu-liyujiang-AndroidPicker,C:\Users\royw\Workspace\top1000\gzu-liyujiang-AndroidPicker,https://github.com/gzu-liyujiang/AndroidPicker,AndroidPicker,安卓选择器类库，包括日期时间选择器、单项选择器、二三级联动选择器、地址选择器、颜色选择器、文件目录选择器、数字选择器等，可自定义顶部及底部界面，可自定义窗口动画。Picker for android include date&time/option/number/address/city/color/file&directory.,Java,813,6324,Sat May 14 13:32:39 CEST 2016,true,244
springside,C:\Users\royw\Workspace\top1000\springside-springside4,C:\Users\royw\Workspace\top1000\springside-springside4,https://github.com/springside/springside4,springside4,A Spring Framework based pragmatic style JavaEE application reference architecture.,Java,3472,5342,Thu Jun 02 09:45:18 CEST 2016,true,2520
rzwitserloot,C:\Users\royw\Workspace\top1000\rzwitserloot-lombok,C:\Users\royw\Workspace\top1000\rzwitserloot-lombok,https://github.com/rzwitserloot/lombok,lombok,Very spicy additions to the Java programming language.,Java,2640,72799,Tue May 24 00:38:34 CEST 2016,true,602
jfinal,C:\Users\royw\Workspace\top1000\jfinal-jfinal,C:\Users\royw\Workspace\top1000\jfinal-jfinal,https://github.com/jfinal/jfinal,jfinal,JAVA WEB + ORM Framework,Java,1232,32256,Tue May 24 11:47:20 CEST 2016,true,793
sromku,C:\Users\royw\Workspace\top1000\sromku-android-simple-facebook,C:\Users\royw\Workspace\top1000\sromku-android-simple-facebook,https://github.com/sromku/android-simple-facebook,android-simple-facebook,Simple Facebook SDK for Android,Java,907,3105,Mon May 16 21:42:55 CEST 2016,true,404
SimonVT,C:\Users\royw\Workspace\top1000\SimonVT-schematic,C:\Users\royw\Workspace\top1000\SimonVT-schematic,https://github.com/SimonVT/schematic,schematic,Automatically generate ContentProviders,Java,727,455,Mon Apr 11 18:38:35 CEST 2016,true,63
PhilJay,C:\Users\royw\Workspace\top1000\PhilJay-MPAndroidChart,C:\Users\royw\Workspace\top1000\PhilJay-MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,MPAndroidChart,A powerful Android chart view / graph view library supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling dragging and animations.,Java,9356,20787,Thu Jun 02 10:25:12 CEST 2016,true,3037
bytedeco,C:\Users\royw\Workspace\top1000\bytedeco-javacpp,C:\Users\royw\Workspace\top1000\bytedeco-javacpp,https://github.com/bytedeco/javacpp,javacpp,The missing bridge between Java and native C++,Java,1534,3817,Tue May 31 05:50:07 CEST 2016,true,183
cjlin1,C:\Users\royw\Workspace\top1000\cjlin1-libsvm,C:\Users\royw\Workspace\top1000\cjlin1-libsvm,https://github.com/cjlin1/libsvm,libsvm,,Java,1381,6512,Sat May 21 01:27:17 CEST 2016,true,719
dlew,C:\Users\royw\Workspace\top1000\dlew-joda-time-android,C:\Users\royw\Workspace\top1000\dlew-joda-time-android,https://github.com/dlew/joda-time-android,joda-time-android,Joda-Time library with Android specialization,Java,1477,2298,Tue May 24 18:24:41 CEST 2016,true,115
chenupt,C:\Users\royw\Workspace\top1000\chenupt-SpringIndicator,C:\Users\royw\Workspace\top1000\chenupt-SpringIndicator,https://github.com/chenupt/SpringIndicator,SpringIndicator,A spring indicator like Morning Routine guide.,Java,1461,5820,Thu Mar 17 08:30:19 CET 2016,true,371
north2014,C:\Users\royw\Workspace\top1000\north2014-A-MusicView,C:\Users\royw\Workspace\top1000\north2014-A-MusicView,https://github.com/north2014/A-MusicView,A-MusicView,原创自定义控件之-Canvas实时绘制音乐波形图,Java,729,7867,Fri Mar 18 11:41:06 CET 2016,true,167
florent37,C:\Users\royw\Workspace\top1000\florent37-ViewAnimator,C:\Users\royw\Workspace\top1000\florent37-ViewAnimator,https://github.com/florent37/ViewAnimator,ViewAnimator,A fluent Android animation library,Java,895,9117,Wed May 18 14:04:49 CEST 2016,true,135
yangfuhai,C:\Users\royw\Workspace\top1000\yangfuhai-afinal,C:\Users\royw\Workspace\top1000\yangfuhai-afinal,https://github.com/yangfuhai/afinal,afinal,Afinal是一个android的ioc，orm框架，内置了四大模块功能：FinalAcitivityFinalBitmapFinalDbFinalHttp。通过finalActivity，我们可以通过注解的方式进行绑定ui和事件。通过finalBitmap，我们可以方便的加载bitmap图片，而无需考虑oom等问题。通过finalDB模块，我们一行代码就可以对android的sqlite数据库进行增删改查。通过FinalHttp模块，我们可以以ajax形式请求http数据。详情请通过以下网址查看。,Java,2679,4234,Wed Sep 16 15:19:22 CEST 2015,true,1628
baoyongzhang,C:\Users\royw\Workspace\top1000\baoyongzhang-android-PullRefreshLayout,C:\Users\royw\Workspace\top1000\baoyongzhang-android-PullRefreshLayout,https://github.com/baoyongzhang/android-PullRefreshLayout,android-PullRefreshLayout,This component like SwipeRefreshLayout it is more beautiful than SwipeRefreshLayout.,Java,1354,2757,Mon Oct 19 16:48:25 CEST 2015,true,432
apache,C:\Users\royw\Workspace\top1000\apache-cordova-android,C:\Users\royw\Workspace\top1000\apache-cordova-android,https://github.com/apache/cordova-android,cordova-android,Mirror of Apache Cordova Android,Java,1489,29471,Tue May 31 19:29:37 CEST 2016,false,953
pedrovgs,C:\Users\royw\Workspace\top1000\pedrovgs-AndroidWiFiADB,C:\Users\royw\Workspace\top1000\pedrovgs-AndroidWiFiADB,https://github.com/pedrovgs/AndroidWiFiADB,AndroidWiFiADB,IntelliJ/AndroidStudio plugin which provides a button to connect your Android device over WiFi to install run and debug your applications without a USB connected.,Java,1710,3163,Thu May 12 19:49:58 CEST 2016,true,174
yahoo,C:\Users\royw\Workspace\top1000\yahoo-anthelion,C:\Users\royw\Workspace\top1000\yahoo-anthelion,https://github.com/yahoo/anthelion,anthelion,Anthelion is a plugin for Apache Nutch to crawl semantic annotations within HTML pages,Java,2827,35326,Thu Dec 17 08:21:20 CET 2015,true,789
simpligility,C:\Users\royw\Workspace\top1000\simpligility-android-maven-plugin,C:\Users\royw\Workspace\top1000\simpligility-android-maven-plugin,https://github.com/simpligility/android-maven-plugin,android-maven-plugin,Maven Plugin for Android Application development and more,Java,947,34633,Sun May 29 08:17:45 CEST 2016,true,396
chrisbanes,C:\Users\royw\Workspace\top1000\chrisbanes-cheesesquare,C:\Users\royw\Workspace\top1000\chrisbanes-cheesesquare,https://github.com/chrisbanes/cheesesquare,cheesesquare,Demos the new Android Design library.,Java,5313,1535,Thu May 05 14:25:55 CEST 2016,false,1299
pingpongboss,C:\Users\royw\Workspace\top1000\pingpongboss-StandOut,C:\Users\royw\Workspace\top1000\pingpongboss-StandOut,https://github.com/pingpongboss/StandOut,StandOut,StandOut lets you easily create floating windows in your Android app.,Java,1058,786,Fri Jan 15 16:54:14 CET 2016,true,383
googlesamples,C:\Users\royw\Workspace\top1000\googlesamples-android-testing,C:\Users\royw\Workspace\top1000\googlesamples-android-testing,https://github.com/googlesamples/android-testing,android-testing,A collection of samples demonstrating different frameworks and techniques for automated testing,Java,2537,10896,Wed May 18 11:19:55 CEST 2016,true,684
Netflix,C:\Users\royw\Workspace\top1000\Netflix-eureka,C:\Users\royw\Workspace\top1000\Netflix-eureka,https://github.com/Netflix/eureka,eureka,AWS Service registry for resilient mid-tier load balancing and failover.,Java,1981,12440,Sat May 28 03:07:34 CEST 2016,true,453
swagger-api,C:\Users\royw\Workspace\top1000\swagger-api-swagger-core,C:\Users\royw\Workspace\top1000\swagger-api-swagger-core,https://github.com/swagger-api/swagger-core,swagger-core,Examples and server integrations for generating the Swagger API Specification which enables easy access to your REST API,Java,3391,14577,Thu Jun 02 02:19:12 CEST 2016,true,1157
swagger-api,C:\Users\royw\Workspace\top1000\swagger-api-swagger-codegen,C:\Users\royw\Workspace\top1000\swagger-api-swagger-codegen,https://github.com/swagger-api/swagger-codegen,swagger-codegen,swagger-codegen contains a template-driven engine to generate client code in different languages by parsing your Swagger Resource Declaration.,Java,2176,46647,Thu Jun 02 10:41:13 CEST 2016,true,1220
wordpress-mobile,C:\Users\royw\Workspace\top1000\wordpress-mobile-WordPress-Android,C:\Users\royw\Workspace\top1000\wordpress-mobile-WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android,WordPress-Android,WordPress for Android,Java,1179,235975,Thu Jun 02 10:51:36 CEST 2016,true,673
killme2008,C:\Users\royw\Workspace\top1000\killme2008-Metamorphosis,C:\Users\royw\Workspace\top1000\killme2008-Metamorphosis,https://github.com/killme2008/Metamorphosis,Metamorphosis,A  high availablehigh performance distributed messaging system.,Java,823,6415,Sun Mar 15 04:15:41 CET 2015,true,545
BroadleafCommerce,C:\Users\royw\Workspace\top1000\BroadleafCommerce-BroadleafCommerce,C:\Users\royw\Workspace\top1000\BroadleafCommerce-BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce,BroadleafCommerce,Broadleaf Commerce - Enterprise eCommerce framework based on Spring,Java,754,286390,Tue May 17 20:38:41 CEST 2016,true,730
dangdangdotcom,C:\Users\royw\Workspace\top1000\dangdangdotcom-elastic-job,C:\Users\royw\Workspace\top1000\dangdangdotcom-elastic-job,https://github.com/dangdangdotcom/elastic-job,elastic-job,Elastic-Job is a distributed scheduled job framework based on Quartz and Zookeeper.,Java,842,19492,Mon May 30 09:28:00 CEST 2016,true,541
PlusHaze,C:\Users\royw\Workspace\top1000\PlusHaze-TrayNotification,C:\Users\royw\Workspace\top1000\PlusHaze-TrayNotification,https://github.com/PlusHaze/TrayNotification,TrayNotification,A tray notification class in JavaFX that allows you to call beautiful looking notifications on desktop computers.,Java,1119,345,Thu Mar 03 21:50:04 CET 2016,true,25
chewiebug,C:\Users\royw\Workspace\top1000\chewiebug-GCViewer,C:\Users\royw\Workspace\top1000\chewiebug-GCViewer,https://github.com/chewiebug/GCViewer,GCViewer,Fork of tagtraum industries' GCViewer. Tagtraum stopped development in 2008 I aim to improve support for Sun's / Oracle's java 1.6+ garbage collector logs (including G1 collector),Java,1321,22014,Tue Apr 19 22:11:53 CEST 2016,true,353
jgilfelt,C:\Users\royw\Workspace\top1000\jgilfelt-android-viewbadger,C:\Users\royw\Workspace\top1000\jgilfelt-android-viewbadger,https://github.com/jgilfelt/android-viewbadger,android-viewbadger,[DEPRECATED] A simple way to "badge" any given Android view at runtime without having to cater for it in layout,Java,2413,297,Fri Aug 28 09:48:08 CEST 2015,false,978
JakeWharton,C:\Users\royw\Workspace\top1000\JakeWharton-scalpel,C:\Users\royw\Workspace\top1000\JakeWharton-scalpel,https://github.com/JakeWharton/scalpel,scalpel,A surgical debugging tool to uncover the layers under your app.,Java,1729,1425,Wed Jul 29 22:28:10 CEST 2015,true,138
rmtheis,C:\Users\royw\Workspace\top1000\rmtheis-android-ocr,C:\Users\royw\Workspace\top1000\rmtheis-android-ocr,https://github.com/rmtheis/android-ocr,android-ocr,Experimental app for optical character recognition on Android.,Java,990,1454,Sun Jan 10 22:40:36 CET 2016,true,557
